sample_id,writer,question,row,line_index,expected_blank,width,height,contrast,blur_var,ink_frac,edge_touch,n_bands,strike_run_frac,crnn_conf,mixed_script_in_decode,blankish,seg_quality,candidate_agreement,easy_score,info_score,recrop_flag,easy_rank,info_rank,recrop_rank
e007_q2_r3__l2,e007,2,3,2,False,1287,40,0.0,125.0,0.0,0.0,0,0.0,0.8742,False,True,1.0,,1.2094,0.0,False,1,134,
e009_q2_r8__l2,e009,2,8,2,False,1287,56,0.0,146.2,0.0,0.0,0,0.0,0.7481,False,True,1.0,,1.1653,0.0,False,2,142,
e010_q1_r6__l2,e010,1,6,2,False,1287,84,11.0,339.7,0.0,0.0,0,0.0,0.6755,False,True,1.0,,1.1537,0.0,False,3,143,
e009_q1_r5__l3,e009,1,5,3,False,1287,44,0.0,228.5,0.0,0.0,0,0.0,0.7139,False,True,1.0,,1.1533,0.0,False,4,138,
e009_q1_r1__l2,e009,1,1,2,False,1287,91,0.0,199.9,0.0,0.0,0,0.0,0.6901,False,True,1.0,,1.145,0.0,False,5,137,
e010_q2_r5__l2,e010,2,5,2,False,1287,44,0.0,348.6,0.0,0.0,0,0.0,0.6797,False,True,1.0,,1.1414,0.0,False,6,148,
e007_q2_r6__l2,e007,2,6,2,False,1287,31,0.0,297.9,0.0,0.0,0,0.0,0.8203,False,True,0.8,,1.1406,0.0,False,7,136,
e007_q1_r5__l3,e007,1,5,3,False,1287,29,0.0,303.4,0.0,0.0,0,0.0,0.8179,False,True,0.8,,1.1397,0.0,False,8,133,
e009_q1_r7__l4,e009,1,7,4,False,1287,28,0.0,123.7,0.0,0.0,0,0.0,0.7997,False,True,0.8,,1.1334,0.0,False,9,140,
e011_q2_r8__l2,e011,2,8,2,False,1287,29,0.0,175.3,0.0,0.0,0,0.0,0.7772,False,True,0.8,,1.1255,0.0,False,10,152,
e010_q2_r3__l1,e010,2,3,1,False,1287,28,17.0,470.4,0.0,0.0,0,0.0,0.7001,False,True,0.8,,1.1198,0.0,False,11,146,
e009_q1_r7__l1,e009,1,7,1,False,1287,29,0.0,293.0,0.0,0.0,0,0.0,0.7418,False,True,0.8,,1.1131,0.0,False,12,139,
e007_q2_r5__l1,e007,2,5,1,False,1287,30,12.0,391.1,0.0,0.0,0,0.0,0.6827,False,True,0.8,,1.1074,0.0,False,13,135,
e010_q2_r6__l1,e010,2,6,1,False,1287,30,0.0,474.0,0.0,0.0,0,0.0,0.7127,False,True,0.8,,1.1029,0.0,False,14,149,
e012_q1_r1__l1,e012,1,1,1,False,1287,27,0.0,283.9,0.0,0.0,0,0.0,0.7073,False,True,0.8,,1.101,0.0,False,15,153,
e009_q2_r1__l1,e009,2,1,1,False,1287,27,0.0,305.7,0.0,0.0,0,0.0,0.7025,False,True,0.8,,1.0994,0.0,False,16,141,
e010_q1_r7__l1,e010,1,7,1,False,1287,29,0.0,262.7,0.0,0.0,0,0.0,0.6978,False,True,0.8,,1.0977,0.0,False,17,144,
e010_q1_r8__l1,e010,1,8,1,False,1287,30,0.0,117.7,0.0,0.0,0,0.0,0.6963,False,True,0.8,,1.0972,0.0,False,18,145,
e011_q1_r8__l1,e011,1,8,1,False,1287,28,0.0,253.2,0.0,0.0,0,0.0,0.6142,False,True,0.8,,1.0684,0.0,False,19,150,
e010_q2_r4__l2,e010,2,4,2,False,1287,71,0.0,71.0,0.0,0.0,0,0.0,0.5897,True,True,1.0,,1.0099,0.0,False,20,147,
e007_q1_r5__l1,e007,1,5,1,False,1287,28,0.0,373.4,0.0,0.0,0,0.0,0.728,True,True,0.8,,1.0083,0.0,False,21,132,
e011_q2_r6__l2,e011,2,6,2,False,1287,29,0.0,401.6,0.0,0.0,0,0.0,0.6436,True,True,0.8,,0.9787,0.0,False,22,151,
e010_q2_r3__l2,e010,2,3,2,False,1287,95,115.8,652.6,0.0702,0.006,1,0.081,0.7866,False,False,0.998,,0.823,0.4635,False,23,48,
