model,case_id,truth,v3_raw,v3_verdict,v3_correct,v4_raw,v4_verdict,v4_correct,transition,v3_grounded,v4_grounded,evidence_grounding,v3_review,v4_review
google/gemini-3.7-flash,e004_q1_r1,valid,0.0,invalid,False,0.0,invalid,False,wrong_unchanged,False,False,unchanged,False,False
google/gemini-3.7-flash,e004_q1_r2,valid,4.0,valid,True,4.0,valid,True,correct_preserved,False,True,improved,True,False
google/gemini-3.7-flash,e004_q1_r3,partially_valid,0.0,invalid,False,0.0,invalid,False,wrong_unchanged,False,False,unchanged,False,False
google/gemini-3.7-flash,e004_q1_r4,valid,4.0,valid,True,4.0,valid,True,correct_preserved,False,True,improved,True,False
google/gemini-3.7-flash,e004_q1_r5,partially_valid,4.0,valid,False,4.0,valid,False,wrong_unchanged,True,True,unchanged,False,False
google/gemini-3.7-flash,e004_q1_r6,partially_valid,4.0,valid,False,4.0,valid,False,wrong_unchanged,False,True,improved,True,False
google/gemini-3.7-flash,e004_q1_r8,partially_valid,2.0,partially_valid,True,2.0,partially_valid,True,correct_preserved,False,True,improved,True,False
google/gemini-3.7-flash,e004_q2_r1,valid,4.0,valid,True,4.0,valid,True,correct_preserved,True,True,unchanged,False,False
google/gemini-3.7-flash,e004_q2_r2,valid,4.0,valid,True,4.0,valid,True,correct_preserved,False,True,improved,True,False
google/gemini-3.7-flash,e004_q2_r3,valid,4.0,valid,True,4.0,valid,True,correct_preserved,False,True,improved,True,False
google/gemini-3.7-flash,e004_q2_r6,valid,0.0,invalid,False,0.0,invalid,False,wrong_unchanged,False,False,unchanged,False,False
google/gemini-3.7-flash,e004_q2_r8,partially_valid,0.0,invalid,False,0.0,invalid,False,wrong_unchanged,False,False,unchanged,False,False
anthropic/claude-sonnet-5,e004_q1_r1,valid,0.0,invalid,False,0.0,invalid,False,wrong_unchanged,False,False,unchanged,False,False
anthropic/claude-sonnet-5,e004_q1_r2,valid,4.0,valid,True,4.0,valid,True,correct_preserved,False,True,improved,True,False
anthropic/claude-sonnet-5,e004_q1_r3,partially_valid,0.0,invalid,False,0.0,invalid,False,wrong_unchanged,False,False,unchanged,False,False
anthropic/claude-sonnet-5,e004_q1_r4,valid,4.0,valid,True,4.0,valid,True,correct_preserved,True,True,unchanged,False,False
anthropic/claude-sonnet-5,e004_q1_r5,partially_valid,2.0,partially_valid,True,2.0,partially_valid,True,correct_preserved,False,True,improved,True,False
anthropic/claude-sonnet-5,e004_q1_r6,partially_valid,2.0,partially_valid,True,2.0,partially_valid,True,correct_preserved,False,True,improved,True,False
anthropic/claude-sonnet-5,e004_q1_r8,partially_valid,0.0,invalid,False,2.0,partially_valid,True,wrong_downgrade_corrected_by_v4,False,True,improved,False,False
anthropic/claude-sonnet-5,e004_q2_r1,valid,4.0,valid,True,4.0,valid,True,correct_preserved,True,True,unchanged,False,False
anthropic/claude-sonnet-5,e004_q2_r2,valid,4.0,valid,True,4.0,valid,True,correct_preserved,True,True,unchanged,False,False
anthropic/claude-sonnet-5,e004_q2_r3,valid,4.0,valid,True,4.0,valid,True,correct_preserved,True,True,unchanged,False,False
anthropic/claude-sonnet-5,e004_q2_r6,valid,0.0,invalid,False,0.0,invalid,False,wrong_unchanged,False,False,unchanged,False,False
anthropic/claude-sonnet-5,e004_q2_r8,partially_valid,0.0,invalid,False,0.0,invalid,False,wrong_unchanged,False,False,unchanged,False,False
