sample_id,config,writer,has_span,cer,wer,exact,edit_class,ref_words,hyp_words,subs,dels,ins,agreement_ab,confidence,latency_s,error,candidate
e004_q1_r3__l2,qwen_line,e004,True,0.875,1.1429,False,major,7,9,6,0,2,1.0,,21.06,,.Brightness 7-1' (.)ce E 12 > 1.8
e004_q1_r3__l2,qwen_line_cell,e004,True,0.875,1.1429,False,major,7,9,6,0,2,1.0,,4.91,,.Brightness 7-1' (.)ce E 12 > 1.8
e004_q1_r3__l2,crnn_overfit,e004,True,0.8125,1.0,False,major,7,6,6,1,0,1.0,0.716,,,םנמ  ים מ ר  הח ים
e004_q1_r5__l1,qwen_line,e004,False,0.8889,1.1667,False,major,6,7,6,0,1,0.2667,,3.17,,"אַפּריל, 2069162 WAVELETS ? (x 9'3 δ''??"
e004_q1_r5__l1,qwen_line_cell,e004,False,0.7778,1.0,False,major,6,1,1,5,0,0.2667,,4.28,,WAVELETS
e004_q1_r5__l1,crnn_overfit,e004,False,0.8889,1.6667,False,major,6,10,6,0,4,0.2667,0.7227,,,רם הר וה הי הים הם ה הם ת שוים
e004_q1_r6__l1,qwen_line,e004,False,1.0,1.3333,False,major,3,4,3,0,1,0.4737,,2.67,,"ס'גש, סעכען WAVELETS"
e004_q1_r6__l1,qwen_line_cell,e004,False,0.7826,1.0,False,major,3,2,2,1,0,0.4737,,4.41,,CABLES WAVELETS
e004_q1_r6__l1,crnn_overfit,e004,False,0.8696,1.6667,False,major,3,5,3,0,2,0.4737,0.6303,,,i ו של רמ מצבעים
e004_q1_r6__l2,qwen_line,e004,False,0.8182,1.3333,False,major,3,4,3,0,1,0.3846,,2.5,,C y 0.3 (??)
e004_q1_r6__l2,qwen_line_cell,e004,False,1.0909,1.0,False,major,3,3,3,0,0,0.3846,,2.59,,Cry 013 f2p27
e004_q1_r6__l2,crnn_overfit,e004,False,0.8182,1.0,False,major,3,3,3,0,0,0.3846,0.7663,,,די וש יים
e004_q1_r7__l2,qwen_line,e004,True,0.7391,1.0,False,major,4,2,2,2,0,0.1667,,2.69,,ספונטני אינטראקציה
e004_q1_r7__l2,qwen_line_cell,e004,True,0.7391,1.0,False,major,4,3,3,1,0,0.1667,,5.62,,כּוֹמְרָה בְּחִירַת הַנְּשָׁמָה
e004_q1_r7__l2,crnn_overfit,e004,True,0.8261,1.0,False,major,4,4,4,0,0,0.1667,0.7061,,,ח  דהההמ הiהל שים
e004_q1_r8__l1,qwen_line,e004,False,0.8077,1.0,False,major,6,3,3,3,0,0.0714,,2.61,,כשאף ?' סטס גל
e004_q1_r8__l1,qwen_line_cell,e004,False,0.8462,1.0,False,major,6,5,5,1,0,0.0714,,4.47,,cos 2y ? / cos y
e004_q1_r8__l1,crnn_overfit,e004,False,0.7692,1.0,False,major,6,3,3,3,0,0.0714,0.7501,,,הים הים רושרפים
e004_q2_r1__l1,qwen_line,e004,True,0.7857,1.0,False,major,11,6,6,5,0,0.5385,,2.73,,שאלה 255160 (ב) Cunny 'inke M?
e004_q2_r1__l1,qwen_line_cell,e004,True,0.7857,0.9091,False,major,11,6,5,5,0,0.5385,,4.56,,25511.0 App Cunny 'inke 37?
e004_q2_r1__l1,crnn_overfit,e004,True,0.8095,1.0,False,major,11,8,8,3,0,0.5385,0.704,,,הת ו רות ר מ מד Sנ ים
e004_q2_r1__l2,qwen_line,e004,False,0.8333,1.0,False,major,5,5,5,0,0,0.5417,,2.74,," , 2558 751 סופר 108 עילל"
e004_q2_r1__l2,qwen_line_cell,e004,False,0.9167,1.0,False,major,5,5,5,0,0,0.5417,,2.89,," , 2558 7511 5933 138 eilel"
e004_q2_r1__l2,crnn_overfit,e004,False,0.8333,1.0,False,major,5,4,4,1,0,0.5417,0.6487,,,יר ומ הםים ההים
e004_q2_r2__l1,qwen_line,e004,True,0.8302,0.9231,False,major,13,5,4,8,0,0.5263,,2.74,,20910 יד סלע יד 255 -
e004_q2_r2__l1,qwen_line_cell,e004,True,0.8868,1.0,False,major,13,4,4,9,0,0.5263,,4.56,,20910 יד רכש עוזר
e004_q2_r2__l1,crnn_overfit,e004,True,0.7925,1.0,False,major,13,6,6,7,0,0.5263,0.6226,,,רוהראותרה ה בהכו ודהםהברםהבם (ה בוים
e004_q2_r3__l1,qwen_line,e004,False,0.9,1.0,False,major,8,4,4,4,0,0.0556,,2.76,,"ב-11/07/2024, 15:30"
e004_q2_r3__l1,qwen_line_cell,e004,False,0.8,1.0,False,major,8,3,3,5,0,0.0556,,5.52,,סְפָרִים בְּרֵאשׁוֹת הַמְּגֻלָּה
e004_q2_r3__l1,crnn_overfit,e004,False,0.875,1.0,False,major,8,3,3,5,0,0.0556,0.7566,,,הח  ה ים
e004_q2_r4__l1,qwen_line,e004,False,1.0,1.2,False,major,5,6,5,0,1,0.5714,,2.67,,Uniform algorith sin2 Optimal ≥ 50%
e004_q2_r4__l1,qwen_line_cell,e004,False,0.9118,1.0,False,major,5,5,5,0,0,0.5714,,4.48,,Uniform quantizer using optimal = [?]
e004_q2_r4__l1,crnn_overfit,e004,False,0.7941,1.0,False,major,5,4,4,1,0,0.5714,0.6889,,,נים בה  ה  ים
e004_q2_r4__l2,qwen_line,e004,False,0.8039,1.0,False,major,9,2,2,7,0,0.4815,,2.74,,١٠/٣/٢٠٢٤ Quantization
e004_q2_r4__l2,qwen_line_cell,e004,False,0.7451,1.0,False,major,9,7,7,2,0,0.4815,,2.62,,for 0.5 to 1.5 Quantization
e004_q2_r4__l2,crnn_overfit,e004,False,0.7843,1.0,False,major,9,6,6,3,0,0.4815,0.7799,,,ם הרמוים בהנ    הם מבוככ  ים
e004_q2_r5__l1,qwen_line,e004,False,0.7105,1.0,False,major,8,7,7,1,0,0.25,,2.94,,9.273 1061 (Uniforms) Feb 928 15th
e004_q2_r5__l1,qwen_line_cell,e004,False,0.9474,1.0,False,major,8,3,3,5,0,0.25,,4.55,,9.271356 154
e004_q2_r5__l1,crnn_overfit,e004,False,0.8684,1.0,False,major,8,4,4,4,0,0.25,0.8456,,,ננ מ  ים  לים
e004_q2_r5__l2,qwen_line,e004,False,1.0,2.0,False,major,1,2,1,0,1,0.5,,2.52,,ס'7126
