cell,it1_baseline_8b,it2_strict_prompt,it3_q8_quant,it4_contrast,it5_moe30b,it6_hdd_words,it7_surya,isol0_orig_e002,isol1_blueonly,isol2_tsub,isol3_tsub_lines,isol4_hdd_blueonly,isol5_hdd_tsub,isol6_hdd_tsub_lines,oracle_cer,oracle_expert,medoid_expert,max_pair_sim
e002_q1_r1,1.3684,1.3684,1.3684,1.0,0.8947,0.8421,1.0,1.2632,0.8421,1.0526,1.0526,0.8421,0.8421,0.8421,0.8421,it6_hdd_words,isol0_orig_e002,1.0
e002_q1_r2,0.7586,0.7931,0.7931,0.7586,0.7931,0.931,0.8621,0.7931,0.6207,0.7586,0.7241,0.8621,0.8621,0.8621,0.6207,isol1_blueonly,isol5_hdd_tsub,1.0
e002_q1_r3,0.8163,0.7143,0.9592,0.7143,0.7755,0.7755,0.9388,0.7143,0.7755,0.8776,0.8571,1.1224,0.9388,0.9592,0.7143,it2_strict_prompt,isol5_hdd_tsub,1.0
e002_q1_r4,1.1724,0.7931,0.8621,0.6552,0.8276,0.8966,0.931,0.7931,0.8621,0.6552,0.7931,0.7586,0.6552,0.6552,0.6552,it4_contrast,it2_strict_prompt,1.0
e002_q1_r5,0.8214,0.7857,0.8214,0.8214,0.8214,1.5714,0.8571,0.7857,1.4643,0.75,0.75,1.0714,1.1786,1.1786,0.75,isol2_tsub,isol5_hdd_tsub,1.0
e002_q1_r6,0.75,0.6786,0.8214,0.6786,0.8214,1.3214,1.4643,0.6786,0.8214,0.7857,0.75,1.7143,1.8929,1.8929,0.6786,it2_strict_prompt,it2_strict_prompt,1.0
e002_q1_r7,1.0,1.0,0.8971,0.7059,0.7353,0.7059,0.8676,1.0,1.0441,0.6912,0.8971,0.9706,0.7353,0.7353,0.6912,isol2_tsub,isol6_hdd_tsub_lines,1.0
e002_q1_r8,0.7692,0.7253,0.7802,0.7363,0.7692,0.9231,0.8571,0.7253,0.7802,0.7033,0.7473,0.8791,0.9121,0.9011,0.7033,isol2_tsub,it2_strict_prompt,1.0
e002_q2_r2,0.7551,0.8367,0.8163,0.7551,0.8163,0.8776,0.8776,0.8367,0.7755,0.7959,0.7755,0.7143,0.7347,0.7347,0.7143,isol4_hdd_blueonly,isol5_hdd_tsub,1.0
e002_q2_r3,0.8125,0.75,0.8125,0.9792,0.8125,0.8542,0.9375,1.2083,0.7708,0.7083,0.8542,0.7083,0.7292,0.7292,0.7083,isol2_tsub,isol5_hdd_tsub,1.0
e002_q2_r8,0.8043,0.8696,0.8261,0.8696,0.8043,0.8913,0.913,0.8696,0.9565,0.8696,0.8696,1.1087,0.8261,0.8043,0.8043,it1_baseline_8b,it2_strict_prompt,1.0
